RUC	        Razón Social	Nombre Comercial	Email	                Teléfono	Dirección
2010012345	Empresa 1 S.A.	Comercial 1	contacto1@empresa1.com	        98765001	Av. Principal 1 - Distrito 1
2010012346	Empresa 2 S.A.	Comercial 2	contacto2@empresa2.com	        98765002	Av. Principal 2 - Distrito 2
2010012347	Empresa 3 S.A.	Comercial 3	contacto3@empresa3.com	        98765003	Av. Principal 3 - Distrito 3
2010012348	Empresa 4 S.A.	Comercial 4	contacto4@empresa4.com	        98765004	Av. Principal 4 - Distrito 4
2010012349	Empresa 5 S.A.	Comercial 5	contacto5@empresa5.com	        98765005	Av. Principal 5 - Distrito 5
2010012350	Empresa 6 S.A.	Comercial 6	contacto6@empresa6.com	        98765006	Av. Principal 6 - Distrito 6
2010012351	Empresa 7 S.A.	Comercial 7	contacto7@empresa7.com	        98765007	Av. Principal 7 - Distrito 7
2010012352	Empresa 8 S.A.	Comercial 8	contacto8@empresa8.com	        98765008	Av. Principal 8 - Distrito 8
2010012353	Empresa 9 S.A.	Comercial 9	contacto9@empresa9.com	        98765009	Av. Principal 9 - Distrito 9
2010012354	Empresa 10 S.A.	Comercial 10	contacto10@empresa10.com	98765010	Av. Principal 10 - Distrito 10
2010012355	Empresa 11 S.A.	Comercial 11	contacto11@empresa11.com	98765011	Av. Principal 11 - Distrito 11
2010012356	Empresa 12 S.A.	Comercial 12	contacto12@empresa12.com	98765012	Av. Principal 12 - Distrito 12
2010012357	Empresa 13 S.A.	Comercial 13	contacto13@empresa13.com	98765013	Av. Principal 13 - Distrito 13
2010012358	Empresa 14 S.A.	Comercial 14	contacto14@empresa14.com	98765014	Av. Principal 14 - Distrito 14
2010012359	Empresa 15 S.A.	Comercial 15	contacto15@empresa15.com	98765015	Av. Principal 15 - Distrito 15
2010012360	Empresa 16 S.A.	Comercial 16	contacto16@empresa16.com	98765016	Av. Principal 16 - Distrito 16
2010012361	Empresa 17 S.A.	Comercial 17	contacto17@empresa17.com	98765017	Av. Principal 17 - Distrito 17
2010012362	Empresa 18 S.A.	Comercial 18	contacto18@empresa18.com	98765018	Av. Principal 18 - Distrito 18
